List Year,County,Assessed Value,Sale Amount,Sale Ratio,FIPS
2019,New London,950068634,1387127422.0,1.4600286467303794,09011
2020,New London,1170107181,2207652163.109375,1.8867093536018347,09011
2003,New London,683856667,1292823419.0,1.890488871990481,09011
2018,New London,784536507,1148928817.421875,1.464468265237624,09011
2013,New London,616645191,788067934.0,1.2779925076882663,09011
2015,New London,813937297,1032177403.0,1.2681288924888767,09011
2005,New London,980857886,1599111207.0,1.6303189583572355,09011
2012,New London,561628120,666539437.21875,1.186798547798408,09011
2004,New London,899111266,1827735243.0,2.0328243145381744,09011
2006,New London,535674963,1009976407.0,1.885427687983991,09011
2011,New London,458401129,485680569.0,1.059509975596068,09011
2014,New London,808297208,1027382618.0,1.2710456102429095,09011
2010,New London,643350553,719861080.0,1.1189250971235274,09011
2007,New London,591516468,927782466.0,1.5684812109068789,09011
2009,New London,734568847,882957058.0,1.2020072204341659,09011
2008,New London,553697554,594278766.0,1.073291297219637,09011
2001,New London,334618192,601137402.0,1.7964875083659528,09011
2016,New London,556725340,751874779.0,1.3505309081135053,09011
2017,New London,697020479,1258348075.0,1.805324395640892,09011
2002,New London,572781750,1053459172.0,1.8391982146777546,09011
2020,Windham,331605072,665841951.875,2.0079365730419227,09015
2007,Windham,127095938,213057472.0,1.6763515447677013,09015
2009,Windham,184668368,211606986.0,1.1458756488279573,09015
2008,Windham,188427367,238823025.0,1.2674540264631518,09015
2011,Windham,186312670,200144619.0,1.0742405172981526,09015
2017,Windham,249165971,391738195.03125,1.5721978144088142,09015
2006,Windham,248091299,496576436.0,2.0015874720378646,09015
2001,Windham,156591760,302635987.0,1.9326431160873343,09015
2004,Windham,233532503,495328963.0,2.12102793674078,09015
2018,Windham,207937429,320359233.171875,1.540652083237381,09015
2014,Windham,213620346,274148974.0,1.2833467370191414,09015
2003,Windham,210175718,452451656.0,2.1527303929562405,09015
2010,Windham,193922376,226839280.0,1.1697426809580758,09015
2015,Windham,226618785,302672798.0,1.3356033040244215,09015
2012,Windham,174279199,204580315.0,1.1738653618668513,09015
2019,Windham,250900410,443898936.0,1.7692236373786714,09015
2002,Windham,124552738,246188415.0,1.976579711961049,09015
2016,Windham,260163549,366371674.0,1.4082359938901357,09015
2013,Windham,142832169,182558056.0,1.278129830822635,09015
2005,Windham,187162747,434808114.0,2.3231552270388507,09015
2011,Hartford,1422457244,1702242974.0,1.1966918381414633,09003
2019,Hartford,2666668481,4255082360.6972656,1.5956547996178403,09003
2002,Hartford,1607919483,2825624886.0,1.7573174004509529,09003
2003,Hartford,1964952442,3712327866.0,1.889271102267217,09003
2001,Hartford,1754608245,3174841884.0,1.8094306196537906,09003
2013,Hartford,1826974056,2690195557.0,1.4724870055844952,09003
2004,Hartford,3099253329,5978516366.0,1.9290182929089628,09003
2016,Hartford,2226437572,5246816645.0,2.3565972434999853,09003
2020,Hartford,3282285495,5827654466.955566,1.775486768543748,09003
2017,Hartford,1822977410,2910802094.8828125,1.5967296571616938,09003
2005,Hartford,2570912021,5147695856.0,2.002283942022145,09003
2014,Hartford,2519509742,3761866927.0,1.4930948129669903,09003
2010,Hartford,2027434565,2540805858.0,1.2532122623646795,09003
2008,Hartford,1807903516,2284304680.0,1.2635102812643682,09003
2006,Hartford,2068674144,3840726272.4000244,1.8566124991409108,09003
2018,Hartford,2452934928,3798360774.9907227,1.548496346818183,09003
2015,Hartford,3072022436,4031660478.0,1.3123798936994482,09003
2012,Hartford,1764336491,2536584995.0,1.437699105550042,09003
2009,Hartford,2136801027,2839639417.0,1.3289208406019735,09003
2007,Hartford,1617581861,2731254648.0,1.6884800169009808,09003
2009,Middlesex,518022706,655457644.0,1.2653067836760035,09007
2007,Middlesex,380542748,581285383.0,1.5275166484055558,09007
2010,Middlesex,363984552,446308252.0,1.2261736096975895,09007
2008,Middlesex,364393637,480080378.0,1.3174773905286388,09007
2005,Middlesex,439049630,893810980.0,2.035785749324057,09007
2012,Middlesex,481660921,617899319.0,1.2828512591745014,09007
2003,Middlesex,454999531,916004987.0,2.013199848770833,09007
2006,Middlesex,557109866,1031826256.0,1.852105516293262,09007
2018,Middlesex,540052618,802896231.1328125,1.4867000073181988,09007
2004,Middlesex,652909561,1334806652.0,2.044397465945517,09007
2020,Middlesex,665467905,1199761559.0,1.8028841811687373,09007
2011,Middlesex,482717555,572596216.0,1.186193064803703,09007
2017,Middlesex,452596149,646471557.65625,1.4283629215242173,09007
2019,Middlesex,658048545,1025864992.1838379,1.5589503236175954,09007
2001,Middlesex,341634754,664708838.0,1.9456710133185102,09007
2016,Middlesex,585841273,840972989.0,1.4354963157401168,09007
2014,Middlesex,591813962,789755907.0,1.3344665008089147,09007
2002,Middlesex,340768054,663797811.0,1.9479461270157676,09007
