List Year,Town,Assessed Value,Sale Amount,Sale Ratio
2020,Meriden,179938379,334881028.0,1.8610872781064678
2005,Windsor,123355940,223790039.0,1.814181295201512
2010,Meriden,93306661,107237768.0,1.1493045282158365
2014,Groton,167888200,159948391.0,0.9527077602833314
2017,Bethany,17674120,25492499.0,1.4423631275559972
2017,Madison,158705500,209893918.0,1.3225371395446281
2006,New Milford,139979108,233987316.0,1.6715874200312806
2007,Scotland,2631190,4661400.0,1.771593841569784
2019,New Milford,122827401,185300776.0625,1.508627346617063
2010,Seymour,32969380,38922617.0,1.1805686670480307
2011,Lyme,14496390,13852500.0,0.9555827347360274
2012,Greenwich,2824157539,2003652704.0,0.7094691695950748
2012,Windsor,72716464,116343974.0,1.599967429659396
2014,Woodbury,40811070,51177636.0,1.2540135801389183
2002,Brooklyn,14187940,30715704.0,2.1649164008305646
2006,Bridgeport,1270544963,654697559.0,0.5152887761281062
2011,Glastonbury,200998750,219599607.0,1.0925421526253272
2013,Enfield,86306110,129461475.0,1.5000267651965775
2014,Pomfret,14228780,16802708.0,1.1808959025299428
2001,Norfolk,6544230,12658550.0,1.9343070154930373
2016,Sprague,9910320,6016458.0,0.6070901847770809
2005,Cornwall,6503640,18280166.0,2.810759205614087
2010,Plymouth,18675010,21316328.0,1.1414359617478116
2010,Woodbridge,36689380,49763420.0,1.3563439883693864
2015,Windsor Locks,38410090,64606221.0,1.6820117057783515
2020,Eastford,8839280,18075670.0,2.0449256048003908
2001,Watertown,40590715,73206765.0,1.8035347492647025
2006,Salisbury,44683110,67422088.0,1.5088942555699458
2008,Killingly,36224068,42545947.0,1.1745215087383338
2014,Brookfield,93533600,134554910.0,1.4385729833984793
2015,Stratford,518450630,288547766.0,0.5565578462118949
2016,New Canaan,441575420,527578599.0,1.1947644164614053
2019,Colchester,45916310,74974798.0,1.6328576490576006
2019,East Haven,105799030,175963872.59375,1.6631898477117417
2003,Ansonia,34105880,65575786.0,1.922712036751434
2006,Bethlehem,10932250,18176185.0,1.662620686500949
2009,Orange,49048800,92279373.0,1.8813788104907765
2011,Orange,50446200,70266171.0,1.3928932407198165
2018,Ashford,9502770,13681935.0,1.4397838735442403
2018,Killingly,17476450,28816002.0,1.6488475634353659
2019,Prospect,31858030,53208524.0,1.6701762161690474
2001,Essex,35620390,71276017.0,2.0009892367826403
2002,Wolcott,38526642,68793694.0,1.7856135502284367
2005,East Haven,62534426,176495777.0,2.822377821138072
2005,Simsbury,337777179,211937791.0,0.6274485198421295
2009,East Windsor,27201795,37072458.0,1.3628680754339926
2009,Franklin,4556480,4444001.0,0.9753144971556992
2010,Colchester,32778530,46845652.0,1.4291565851183687
2012,Rocky Hill,125959533,159138840.0,1.2634124326262786
2016,Newtown,130337922,191340979.0,1.4680376675024787
2017,East Haven,98243256,130496750.33203125,1.3283023756056218
2018,Redding,57301540,76408091.0,1.3334386999023062
2019,Griswold,26630320,39811281.0,1.4949606688916994
2019,New London,53962380,81097200.0,1.5028469833984341
2019,Milford,324738106,478794798.75390625,1.4744028800670108
2002,Old Lyme,34451910,73322900.0,2.1282680698980116
2005,Redding,59141190,127594626.0,2.157457873269036
2020,Windham,47809520,104735648.0,2.1906860390984892
2002,Norwalk,435762115,795084979.0,1.8245849091309831
2006,Greenwich,3478347040,3295532409.0,0.9474420956570222
2007,Windham,28826250,47397961.0,1.644263856727809
2008,Ellington,36433090,54034500.0,1.483116035450191
2008,Colchester,30712740,46298610.0,1.5074724690796066
2003,Colebrook,3415600,7255300.0,2.1241655931607917
2005,Westbrook,23681190,55912830.0,2.3610650478290998
2005,Roxbury,16417060,34061300.0,2.074750290246853
2006,Brooklyn,17371458,32406554.0,1.8655057048176382
2010,North Haven,65842305,83645220.0,1.2703871773626394
2007,Killingworth,29362680,41657582.0,1.4187254705633137
2008,East Windsor,22406465,34413009.0,1.5358517731377974
2009,Lisbon,22883580,13256368.0,0.5792960716810919
2013,Colebrook,4138290,4935525.0,1.192648412750194
2015,Preston,48852510,17006467.0,0.3481185920641539
2018,Salisbury,31166950,41905450.0,1.344547669887493
2004,Ridgefield,267284375,535686200.0,2.0041807531772107
2007,North Haven,80643279,119604091.0,1.4831253451388058
2011,Branford,77938530,105387394.0,1.3521860625290212
2011,Harwinton,8517572,10681700.0,1.2540780400799665
2015,Easton,60333990,84499361.0,1.4005266517264978
2002,New Fairfield,66532250,130424689.0,1.9603228359179194
2005,East Granby,19532100,37257026.0,1.9074767178132408
2007,Plymouth,23414639,31831795.0,1.3594826296489133
2013,Groton,131194560,181105868.0,1.380437329108768
2015,Bridgewater,19185980,27224798.0,1.4189943906957059
2015,Beacon Falls,15541900,24118563.0,1.5518413450092974
2016,Naugatuck,66457028,86518582.0,1.301872572453887
2018,Roxbury,31838400,41813953.0,1.3133182886074677
2001,Hamden,132862070,247145573.0,1.860166509523749
2020,Sterling,11830120,24650329.0,2.0836922195210192
2004,Manchester,213143390,360036121.0,1.6891732884608808
2005,Griswold,20367890,58307820.0,2.862732467624285
2006,Cromwell,55972658,107049289.0,1.9125282383409414
2010,East Haven,63582340,78419687.0,1.2333564162627548
2010,New Britain,123998300,121966014.0,0.9836103720776818
2014,Hebron,26422200,35910758.0,1.3591130942919212
2016,Derby,24171040,32479219.0,1.3437245149567416
2016,Southington,155510280,239079160.0,1.53738492400631
2017,Shelton,163184755,276779736.375,1.6961127059632501
2019,Kent,27128300,43162927.0,1.5910664140399509
2001,Weston,120360770,229008125.0,1.9026807904269805
2002,Washington,31000937,79786396.0,2.5736769182170205
2007,Burlington,29267120,50739013.0,1.7336524058397274
2008,Woodstock,19573230,24280792.0,1.24051022748928
2009,Berlin,89807590,72866015.0,0.8113569799612705
2009,Westport,458987775,601793873.0,1.311132683217979
2011,Redding,58863470,61520084.0,1.045131793963217
2015,Salem,10399850,13616757.0,1.309322442150608
2017,Lyme,28913532,39167013.0,1.3546256818433666
2017,Deep River,21818320,29567063.0,1.3551484715596802
2020,Granby,54070490,95607507.0,1.7682012313925766
2001,Milford,209077962,371717999.0,1.7778918229554963
2003,Simsbury,137250021,193685722.0,1.4111890154100595
2006,Oxford,53727846,103923378.0,1.93425543246234
2006,South Windsor,82324462,168388565.0,2.0454256354569313
2016,Stratford,655410920,272362283.0,0.41555957444224456
2017,Somers,29916880,42307057.84375,1.4141534091706756
2017,Woodstock,30744260,47432432.0,1.5428061042939398
2019,Hartford,115240721,239146247.0,2.0751887433956613
2002,North Branford,36328214,71162836.0,1.958886170401881
2003,North Canaan,9884957,16451103.0,1.6642564049595765
2005,Bolton,18213980,32449157.0,1.781552247229875
2006,Canterbury,10115591,19017529.0,1.880021542982511
2011,Warren,6237670,11354615.0,1.8203295461286024
2016,Thompson,24899300,39564388.0,1.5889759149855618
2019,Marlborough,23674740,33908263.0,1.4322549265588556
2004,Bolton,17691480,29416184.0,1.6627316651857278
2011,Avon,124635380,161990921.0,1.2997185951533183
2002,Manchester,169767000,263374060.0,1.5513854871677064
2002,Tolland,42687960,85757833.0,2.00894662101445
2003,Andover,5104200,11592182.0,2.2711065397123935
2009,Thomaston,13674670,16252410.0,1.1885047317412414
2014,Middlebury,28731131,44564202.0,1.5510771921926776
2014,Bethany,20369610,22169334.0,1.0883533852636353
2017,Killingworth,28566061,42331164.0,1.48186913134436
2001,Middletown,74552178,142963482.0,1.9176298511359386
2004,Southington,145422805,309068644.0,2.125310703503484
2006,New Britain,123317771,240697942.0,1.9518512218324153
2011,Brooklyn,14195740,25082721.0,1.7669188784804455
2014,Torrington,73584390,102506134.0,1.39304183944448
2001,Southbury,72684948,156470662.0,2.1527244127628737
2018,New Haven,216771070,389640590.0,1.7974750505221937
2003,Voluntown,6580140,13930537.0,2.1170578437540843
2005,Bethlehem,10091620,19521800.0,1.9344565094603245
2005,Preston,30495500,24268507.0,0.7958061681231657
2006,Lyme,20942803,35493406.0,1.694778201370657
2010,Newington,55430963,72322246.0,1.3047264937468253
2009,Washington,61603400,78207063.0,1.2695251073804368
2010,Windsor,54408670,67319498.0,1.237293578394767
2012,Canton,51714030,69290112.0,1.3398706695262388
2015,East Haven,77598676,107316565.0,1.3829690212755692
2016,Preston,29328040,18788637.0,0.6406373218258022
2018,Andover,11486760,18094278.0,1.575229046310709
2020,New London,76319919,143454247.0,1.8796435960577997
2001,Bridgewater,7094590,17943859.0,2.529231287502167
2020,Scotland,5136700,9106400.0,1.7728113380185722
2001,Litchfield,24522283,49733344.0,2.0280878415765775
2004,West Haven,110202940,283827137.0,2.5754951455923045
2004,Torrington,130349760,226898847.0,1.7406924799861543
2012,Vernon,51417664,73325684.0,1.4260796445361656
2014,Glastonbury,202338461,252015604.0,1.2455150778279371
2016,Branford,122442810,173167311.0,1.4142709645425484
2017,West Haven,133607493,201416767.0,1.5075259813459714
2001,Sherman,17053820,35039980.0,2.0546704492014105
2004,Cornwall,8768420,18749151.0,2.1382587741006933
2006,Ridgefield,330493930,431497417.0,1.3056137430421189
2005,Middlefield,7652300,17382000.0,2.2714739359408282
